Front,Back
"173. Binary Search Tree Iterator (medium): Implement an iterator over a binary search tree (BST) that returns the next smallest number in the BST. Input: BST with root node. Output: Iterator supporting next() and hasNext() operations. Example: BSTIterator bSTIterator = new BSTIterator([7, 3, 15, null, null, 9, 20]); bSTIterator.next(); // return 3 bSTIterator.next(); // return 7 bSTIterator.hasNext(); // return True bSTIterator.next(); // return 9 bSTIterator.hasNext(); // return True bSTIterator.next(); // return 15 bSTIterator.hasNext(); // return True bSTIterator.next(); // return 20 bSTIterator.hasNext(); // return False","Brute Force: Perform an in-order traversal of the BST and store the values in a list. next(): Return the next element from the list. hasNext(): Check if there are more elements in the list. Time Complexity: O(n) for initialization, O(1) for next() and hasNext(). Optimized: Use a stack to simulate in-order traversal. Initialize by pushing all leftmost nodes onto the stack. next(): Pop the top node, push all leftmost nodes of its right subtree onto the stack, and return the node's value. hasNext(): Check if the stack is non-empty. Time Complexity: O(h) for initialization, O(1) average for next() and hasNext(). Key Points: The optimized approach uses O(h) space, where h is the height of the tree. It provides average O(1) time complexity for next() and hasNext() operations. This method efficiently simulates in-order traversal without storing all nodes."
"986. Interval List Intersections (Medium): Given two lists of closed intervals, each list is pairwise disjoint and sorted. Return their intersection. Example: Input: firstList = [[0,2],[5,10],[13,23],[24,25]], secondList = [[1,5],[8,12],[15,24],[25,26]]. Output: [[1,2],[5,5],[8,10],[15,23],[24,24],[25,25]].","Brute Force: Compare each interval in firstList with every interval in secondList to find intersections. Time Complexity: O(m * n), where m and n are the lengths of firstList and secondList. Optimized: Use two pointers to traverse both lists simultaneously, comparing current intervals and moving the pointer of the interval that ends first. Time Complexity: O(m + n). Key Points: Utilize the sorted nature of the lists and the two-pointer technique to efficiently find intersections."
"987. Vertical Order Traversal of a Binary Tree (Hard): Given the root of a binary tree, return its vertical order traversal. For each node at position (row, col), its left and right children are at positions (row + 1, col - 1) and (row + 1, col + 1), respectively. The root is at (0, 0). Nodes in the same row and column should be ordered by their values. Input: root = [3,9,20,null,null,15,7]. Output: [[9],[3,15],[20],[7]].","Brute Force: Traverse the tree and store nodes in a list with their coordinates. Sort the list by column, row, and value. Group nodes by column. Time Complexity: O(n log n). Optimized: Use a map to store nodes by column, with a nested map for rows and a multiset for values. Perform a DFS to populate the map, then extract the values in order. Time Complexity: O(n log n). Key Points: Use a map of maps with multisets to efficiently group and sort nodes by column, row, and value during traversal."
"1762. Buildings With an Ocean View (Medium): Given an array `heights` representing building heights in a line with the ocean to the right, return the indices of buildings that have an unobstructed ocean view. A building has an ocean view if all buildings to its right are shorter. Input: [4,2,3,1]. Output: [0,2,3].","Brute Force: For each building, check all buildings to its right to determine if it has an ocean view. Time Complexity: O(n²). Optimized: Traverse the array from right to left, keeping track of the maximum height seen so far. If the current building is taller than this maximum, it has an ocean view. Time Complexity: O(n). Key Points: Iterate from right to left; maintain the maximum height encountered; append indices of buildings taller than this maximum; reverse the result to get indices in increasing order."
"13. Roman to Integer (Easy): Convert a Roman numeral string to its integer equivalent. Roman numerals are represented by seven symbols: I (1), V (5), X (10), L (50), C (100), D (500), and M (1000). For example, 'III' equals 3, 'LVIII' equals 58, and 'MCMXCIV' equals 1994.","Brute Force: Iterate through the string, checking each character and its successor to handle subtraction cases, summing values accordingly. Time Complexity: O(n). Optimized: Traverse the string from right to left, adding values unless a smaller numeral precedes a larger one, in which case subtract. Time Complexity: O(n). Key Points: Use a dictionary to map Roman numerals to integers; handle subtractive combinations by comparing current and next values; ensure a single pass through the string for efficiency."
"33. Search in Rotated Sorted Array (Medium): Given a rotated sorted array and a target value, return the index of the target if found, otherwise return -1. You must write an algorithm with O(log n) runtime complexity. Example: Input: nums = [4,5,6,7,0,1,2], target = 0. Output: 4.",Brute Force: Iterate through the array to find the target. Time Complexity: O(n). Optimized: Use modified binary search to account for rotation. Time Complexity: O(log n). Key Points: Identify which half of the array is sorted; determine if the target lies within the sorted half; adjust search space accordingly.
"415. Add Strings (Easy): Given two non-negative integers, num1 and num2, represented as strings, return their sum as a string. You must not use any built-in library for handling large integers, nor convert the inputs to integers directly.

**Example 1:**
- Input: num1 = \11\","num2 = \""123\"
"Sliding Window Median (480, Hard): Given an integer array nums and an integer k, find the median of each sliding window of size k as it moves from the left to the right end of the array. The median is the middle value in an ordered integer list; if the size is even, it's the mean of the two middle values. Input: nums = [1,3,-1,-3,5,3,6,7], k = 3. Output: [1.0,-1.0,-1.0,3.0,5.0,6.0].","Brute Force: For each window, extract the subarray, sort it, and find the median. Time Complexity: O(n * k log k). Optimized: Use two heaps (a max-heap for the smaller half and a min-heap for the larger half) to maintain the window's elements, allowing efficient median retrieval. Time Complexity: O(n log k). Key Points: Maintain balance between the two heaps; handle element removal efficiently to keep the heaps updated as the window slides."
1. If a word begins with a vowel ('a','e'
"Minimum Add to Make Parentheses Valid (921, Medium): Given a string s of '(' and ')', return the minimum number of parentheses needed to make the string valid. Example: Input: '())', Output: 1. Input: '(((', Output: 3.","Brute Force: Insert parentheses at all positions to check for validity, O(2^n). Optimized: Use counters to track unmatched '(' and ')', O(n). Key: Maintain balance between opening and closing parentheses while iterating."
"973. K Closest Points to Origin (medium): Given an array of points where each point is represented as [x, y] on the X-Y plane, and an integer k, return the k closest points to the origin (0, 0). The distance between two points is the Euclidean distance. You may return the answer in any order. The answer is guaranteed to be unique (except for the order that it is in). Sample Test Cases: Input: points = [[1,3],[-2,2]], k = 1; Output: [[-2,2]]. Input: points = [[3,3],[5,-1],[-2,4]], k = 2; Output: [[3,3],[-2,4]].","Brute Force Solution: 1. Calculate the squared Euclidean distance for each point to avoid unnecessary square root calculations. 2. Sort all points based on their squared distances. 3. Return the first k points from the sorted list. Time Complexity: O(n log n), where n is the number of points, due to the sorting step. Optimized Solution: 1. Use a max-heap (priority queue) to keep track of the k closest points. 2. Iterate through each point, calculate its squared distance from the origin, and maintain a heap of size k containing the closest points seen so far. 3. If the heap exceeds size k, remove the point with the largest distance. 4. At the end, the heap contains the k closest points. Time Complexity: O(n log k), where n is the number of points and k is the number of closest points to find. Key Points: - Avoid computing the actual Euclidean distance; comparing squared distances is sufficient and more efficient. - Using a max-heap of size k ensures that we only keep track of the k closest points, improving efficiency over sorting all points. - Be cautious with edge cases, such as when k equals the number of points, or when multiple points have the same distance to the origin."
"1004. Max Consecutive Ones III (Medium): Given a binary array nums and an integer k, return the maximum number of consecutive 1's in the array if you can flip at most k 0's. Example: Input: nums = [1,1,1,0,0,0,1,1,1,1,0], k = 2. Output: 6. Explanation: Flip the two 0's at indices 3 and 4 to get [1,1,1,1,1,0,1,1,1,1,0], resulting in six consecutive 1's.","Brute Force: Check all subarrays, count zeros, and verify if they can be flipped within k. Time Complexity: O(n³). Optimized: Use a sliding window approach with two pointers to maintain a window containing at most k zeros. Expand the window by moving the right pointer; if zeros exceed k, move the left pointer to reduce zeros. Track the maximum window size. Time Complexity: O(n). Key Points: Utilize the sliding window technique to efficiently find the longest subarray with at most k zeros, ensuring optimal performance for large inputs."
"1209. Remove All Adjacent Duplicates in String II (medium): Given a string s and an integer k, remove k adjacent duplicates repeatedly until no more can be removed. Return the final string.

**Example 1:**
- Input: s = abcd",k = 2
"Valid Palindrome III (1216, Hard): Given a string s and an integer k, determine if s is a k-palindrome. A string is k-palindrome if it can be transformed into a palindrome by removing at most k characters. Example: Input: s = 'abcdeca', k = 2. Output: true. Explanation: Remove 'b' and 'e' characters.","Brute Force: Generate all possible subsequences by removing up to k characters and check if any is a palindrome. Time Complexity: O(2^n). Optimized: Use dynamic programming to find the length of the longest palindromic subsequence (LPS). If the difference between the string's length and LPS is ≤ k, return true. Time Complexity: O(n²). Key Points: Transform the problem into finding the LPS; the minimum deletions required to make s a palindrome is s.length - LPS; if this value is ≤ k, s is a k-palindrome."
"1539. Kth Missing Positive Number (Easy): Given a sorted array of positive integers and an integer k, find the kth missing positive integer. Example: Input: arr = [2,3,4,7,11], k = 5. Output: 9.","Brute Force: Iterate through numbers from 1, counting those not in arr until k missing numbers are found. Time Complexity: O(n + k). Optimized: Use binary search to find the position where the kth missing number would be, leveraging the sorted nature of arr. Time Complexity: O(log n). Key Points: Calculate missing numbers up to arr[i] as arr[i] - (i + 1); use binary search to efficiently locate the kth missing number."
"Remove Nth Node From End of List (19, Medium): Given the head of a linked list, remove the nth node from the end of the list and return its head. Example: Input: head = [1,2,3,4,5], n = 2. Output: [1,2,3,5].","Brute Force: 1. Traverse the list to determine its length (L). 2. Calculate the position to remove from the start: L - n + 1. 3. Traverse again to this position and adjust pointers to remove the node. Time Complexity: O(n) for two passes. Optimized: 1. Use two pointers, both starting at a dummy node before head. 2. Move the first pointer n+1 steps ahead. 3. Move both pointers until the first reaches the end. 4. The second pointer will be just before the target node; adjust its next pointer to remove the target node. Time Complexity: O(n) for a single pass. Key Points: - Using a dummy node simplifies edge cases, such as removing the head. - The two-pointer technique allows for a single traversal, improving efficiency."
"Valid Parentheses (20, Easy): Given a string containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1. Open brackets must be closed by the same type of brackets. 2. Open brackets must be closed in the correct order. 3. Every close bracket has a corresponding open bracket of the same type. Examples: Input: '()' Output: true. Input: '()[]{}' Output: true. Input: '(]' Output: false. Input: '([)]' Output: false. Input: '{[]}' Output: true.","Brute Force: Count occurrences of each bracket type and check if they match. This method fails for nested or improperly ordered brackets. Time Complexity: O(n). Optimized Solution: Use a stack to track opening brackets. For each character in the string: - If it's an opening bracket, push it onto the stack. - If it's a closing bracket, check if the stack is empty or if the top of the stack doesn't match the corresponding opening bracket; if so, return false. - Otherwise, pop the top of the stack. After processing all characters, if the stack is empty, the string is valid; otherwise, it's invalid. Time Complexity: O(n). Key Points: - The stack-based approach efficiently handles nested and ordered brackets. - Ensure to check for an empty stack when encountering a closing bracket to avoid errors. - This method guarantees that all opening brackets have a corresponding and correctly ordered closing bracket."
"102. Binary Tree Level Order Traversal (medium): Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level). Sample Test Cases: Input: root = [3,9,20,null,null,15,7] Output: [[3],[9,20],[15,7]] Input: root = [1] Output: [[1]] Input: root = [] Output: []","Brute Force Solution: Use a queue to perform a breadth-first search (BFS). Enqueue the root node, then for each node, dequeue it, record its value, and enqueue its children. Repeat until the queue is empty. Time Complexity: O(n), where n is the number of nodes in the tree. Optimized Solution: The BFS approach described is already optimal for this problem. Key Points: - Utilize a queue to manage nodes at each level. - Process nodes level by level, recording their values and enqueuing their children. - Ensure to handle edge cases, such as an empty tree."
"Valid Palindrome (125, Easy): Determine if a given string is a palindrome, considering only alphanumeric characters and ignoring cases.

**Problem Description:**
A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

**Sample Test Cases:**
1. Input: s = \A man",a plan
"133. Clone Graph (medium): Given a reference to a node in a connected undirected graph, return a deep copy (clone) of the graph. Each node contains a value (int) and a list of its neighbors. Example: Input: adjList = [[2,4],[1,3],[2,4],[1,3]]. Output: [[2,4],[1,3],[2,4],[1,3]].","Brute Force: Traverse the graph and create new nodes without tracking visited nodes, leading to redundant copies and potential infinite loops in cyclic graphs. Time Complexity: O(N + M), where N is the number of nodes and M is the number of edges. Optimized Solution: Use Depth-First Search (DFS) with a hashmap to track visited nodes. For each node, if it's already cloned, return the clone; otherwise, create a new node, recursively clone its neighbors, and map the original node to its clone. Time Complexity: O(N + M). Key Points: Utilize a hashmap to avoid redundant cloning and handle cycles efficiently; DFS ensures all nodes and edges are processed once."
"Course Schedule (207, Medium): Determine if it's possible to finish all courses given prerequisites.

**Problem Description:**
You are given `numCourses` labeled from `0` to `numCourses - 1` and an array `prerequisites` where `prerequisites[i] = [a, b]` indicates that to take course `a`, you must first take course `b`.

**Sample Test Cases:**
- Input: `numCourses = 2`, `prerequisites = [[1,0]]`
  Output: `true`
  Explanation: To take course 1, you should have finished course 0. So it is possible.

- Input: `numCourses = 2`, `prerequisites = [[1,0],[0,1]]`
  Output: `false`
  Explanation: Courses 0 and 1 form a cycle, making it impossible to complete both.","**Brute Force Solution:**
1. Generate all possible course orders.
2. For each order, check if it satisfies all prerequisites.
3. If any order is valid, return `true`; otherwise, return `false`.

**Time Complexity:** O((numCourses!) * numCourses)

**Optimized Solution:** Use Topological Sorting with Kahn's Algorithm:
1. Build a directed graph where each course points to courses dependent on it.
2. Create an in-degree array to count prerequisites for each course.
3. Initialize a queue with courses having zero in-degree (no prerequisites).
4. Process courses from the queue:
   - Take the course and reduce the in-degree of its dependent courses.
   - If a dependent course's in-degree becomes zero, add it to the queue.
5. If all courses are processed, return `true`; otherwise, return `false`.

**Time Complexity:** O(numCourses + prerequisites.length)

**Key Points:**
- Model the problem as a directed graph.
- Detect cycles using topological sorting.
- Courses with zero in-degree can be taken immediately.
- If a cycle exists, it's impossible to complete all courses."
"Expression Add Operators (282, Hard): Given a string num containing only digits and an integer target, insert the binary operators '+', '-', and '*' between the digits in num so that the resulting expression evaluates to target. Operands in the expressions should not have leading zeros.

**Example 1:**
- Input: num = \123\",target = 6
"303. Range Sum Query - Immutable (Easy): Given an integer array nums, implement the NumArray class with methods to initialize the object and return the sum of elements between indices left and right inclusive. Example: Input: nums = [-2, 0, 3, -5, 2, -1], sumRange(0, 2) returns 1, sumRange(2, 5) returns -1, sumRange(0, 5) returns -3.","Brute Force: For each sumRange query, iterate from left to right, summing elements. Time Complexity: O(n) per query. Optimized Solution: Precompute a prefix sum array where each element at index i stores the sum of elements from the start up to i. For sumRange(left, right), return prefixSum[right + 1] - prefixSum[left]. Time Complexity: O(n) for initialization, O(1) per query. Key Points: Precompute prefix sums to allow constant-time range sum queries; this approach is efficient for multiple queries on an immutable array."
"Next Greater Element III (556, Medium): Given a positive integer n, find the smallest integer that has exactly the same digits as n and is greater in value than n. If no such integer exists or the result does not fit in a 32-bit integer, return -1.

**Example 1:**
- Input: n = 12
- Output: 21

**Example 2:**
- Input: n = 21
- Output: -1","**Brute Force Approach:**
1. Generate all permutations of the digits of n.
2. Convert each permutation to an integer.
3. Identify the smallest integer greater than n.
4. If no such integer exists or it exceeds 32-bit integer range, return -1.

**Time Complexity:** O(n!), where n is the number of digits in n.

**Optimized Approach:**
1. Convert n to a list of its digits.
2. Traverse the list from right to left to find the first decreasing digit (pivot).
3. If no pivot is found, return -1.
4. Find the smallest digit greater than the pivot to its right.
5. Swap the pivot with this digit.
6. Reverse the digits to the right of the pivot to get the smallest possible number.
7. Convert the list back to an integer.
8. If the result exceeds 32-bit integer range, return -1; otherwise, return the result.

**Time Complexity:** O(n), where n is the number of digits in n.

**Key Points:**
- The problem is akin to finding the next lexicographical permutation of the digits.
- Identifying the pivot is crucial; it's the first digit from the right that is smaller than its next digit.
- After swapping, reversing the suffix ensures the next smallest permutation.
- Always check for integer overflow to ensure the result fits within a 32-bit integer."
"647. Palindromic Substrings (medium): Given a string s, return the number of palindromic substrings in it. A string is a palindrome when it reads the same backward as forward. A substring is a contiguous sequence of characters within the string. Sample test cases: Input: s = 'abc' Output: 3 Explanation: Three palindromic substrings: 'a', 'b', 'c'. Input: s = 'aaa' Output: 6 Explanation: Six palindromic substrings: 'a', 'a', 'a', 'aa', 'aa', 'aaa'.","Brute Force Solution: Generate all possible substrings of s and check each for palindromicity by comparing the substring with its reverse. Increment a counter for each palindrome found. Time Complexity: O(n³) due to generating O(n²) substrings and checking each in O(n) time. Optimized Solution: Use the 'expand around center' approach by treating each character and each pair of adjacent characters as potential centers. Expand outwards while characters match, counting palindromic substrings. Time Complexity: O(n²) as there are 2n-1 centers and each expansion takes O(n) in the worst case. Key Points: This method efficiently counts palindromic substrings without generating all substrings explicitly, reducing both time and space complexity compared to the brute force approach."
"958. Check Completeness of a Binary Tree (Medium): Given the root of a binary tree, determine if it is a complete binary tree. A complete binary tree is defined as a binary tree in which every level, except possibly the last, is completely filled, and all nodes in the last level are as far left as possible. Sample Test Cases: Input: root = [1,2,3,4,5,6] Output: true Explanation: Every level before the last is full (i.e., levels with node-values {1} and {2, 3}), and all nodes in the last level ({4, 5, 6}) are as far left as possible. Input: root = [1,2,3,4,5,null,7] Output: false Explanation: The node with value 7 isn't as far left as possible.","Brute Force Solution: Perform a level-order traversal (BFS) of the tree. During traversal, if a null node is encountered, ensure that no non-null nodes appear afterward. If a non-null node appears after a null node, the tree is not complete. Time Complexity: O(n), where n is the number of nodes in the tree. Optimized Solution: The optimized approach is similar to the brute force method, utilizing a queue for level-order traversal. The key optimization is to terminate the traversal early if a non-null node is found after a null node, reducing unnecessary operations. Time Complexity: O(n), where n is the number of nodes in the tree. Key Points to Remember: - A complete binary tree has all levels fully filled except possibly the last, which is filled from left to right. - During level-order traversal, encountering a non-null node after a null node indicates the tree is not complete. - Using a queue facilitates efficient level-order traversal to check completeness."
"1060. Missing Element in Sorted Array (Medium): Given a sorted array of unique integers and an integer k, find the k-th missing number starting from the leftmost number of the array. Example: Input: nums = [4,7,9,10], k = 1. Output: 5. Explanation: The first missing number is 5.","Brute Force: Iterate through the array, counting missing numbers between consecutive elements until reaching the k-th missing number. Time Complexity: O(n). Optimized: Use binary search to find the position where the k-th missing number would be, based on the count of missing numbers up to each index. Time Complexity: O(log n). Key Points: Calculate missing numbers up to an index as nums[i] - nums[0] - i; use binary search to efficiently locate the k-th missing number."
"Diagonal Traverse II (1424, Medium): Given a 2D integer array `nums`, return all elements of `nums` in diagonal order. Example: Input: `nums = [[1,2,3],[4,5,6],[7,8,9]]`. Output: `[1,4,2,7,5,3,8,6,9]`.","Brute Force: Iterate through all possible diagonal sums, collecting elements for each diagonal. Time Complexity: O(N), where N is the total number of elements. Optimized: Use a hash map to group elements by the sum of their row and column indices, then traverse the map in order. Time Complexity: O(N). Key Points: Group elements by diagonal index (i + j), reverse each diagonal's list before adding to result, handle varying row lengths."
"2265. Count Nodes Equal to Average of Subtree (Medium): Given the root of a binary tree, return the number of nodes where the value of the node is equal to the average of the values in its subtree. Note: The average of n elements is the sum of the n elements divided by n and rounded down to the nearest integer. A subtree of root is a tree consisting of root and all of its descendants. Example 1: Input: root = [4,8,5,0,1,null,6] Output: 5 Explanation: For the node with value 4: The average of its subtree is (4 + 8 + 5 + 0 + 1 + 6) / 6 = 24 / 6 = 4. For the node with value 5: The average of its subtree is (5 + 6) / 2 = 11 / 2 = 5. For the node with value 0: The average of its subtree is 0 / 1 = 0. For the node with value 1: The average of its subtree is 1 / 1 = 1. For the node with value 6: The average of its subtree is 6 / 1 = 6. Example 2: Input: root = [1] Output: 1 Explanation: For the node with value 1: The average of its subtree is 1 / 1 = 1.","Brute Force: For each node, traverse its entire subtree to calculate the sum and count of nodes, then compute the average and compare it to the node's value. Time Complexity: O(n²) in the worst case, where n is the number of nodes, due to repeated traversal of subtrees. Optimized Solution: Use a post-order depth-first search (DFS) traversal to compute the sum and count of nodes in each subtree. For each node, calculate the average and compare it to the node's value. Time Complexity: O(n), as each node is visited once. Key Points: - Utilize post-order DFS to gather subtree information efficiently. - Maintain a global counter to track nodes matching the condition. - Ensure integer division is used to compute the average, as specified in the problem statement."
"2. Add Two Numbers (Medium): You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each node contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zeros, except the number 0 itself. Example: Input: l1 = [2,4,3], l2 = [5,6,4]. Output: [7,0,8]. Explanation: 342 + 465 = 807.","Brute Force: Convert each linked list to its integer representation by traversing the list and calculating the number. Add the two integers. Convert the sum back to a linked list by extracting each digit. Time Complexity: O(n + m), where n and m are the lengths of the two linked lists. Optimized Solution: Traverse both linked lists simultaneously, adding corresponding digits along with any carry from the previous addition. Create a new node for each sum's unit digit and carry over the tens digit to the next addition. Continue until both lists are fully traversed and no carry remains. Time Complexity: O(max(n, m)), where n and m are the lengths of the two linked lists. Key Points: - Handle different lengths of linked lists by treating missing nodes as 0. - Maintain a carry variable to account for sums greater than 9. - Ensure the final carry is added as a new node if it's non-zero."
"Reverse Integer (7, Medium): Given a 32-bit signed integer, reverse its digits. If the reversed integer overflows, return 0. Examples: Input: 123, Output: 321. Input: -123, Output: -321. Input: 120, Output: 21.","Brute Force: Convert integer to string, reverse string, convert back to integer. Time Complexity: O(n), where n is the number of digits. Optimized: Extract digits using modulo and division, construct reversed number, check for overflow. Time Complexity: O(n). Key: Handle overflow by checking if reversed number exceeds 32-bit integer range (-2^31 to 2^31 - 1)."
"3Sum (15, Medium): Given an integer array nums, return all unique triplets [nums[i], nums[j], nums[k]] such that i ≠ j ≠ k and nums[i] + nums[j] + nums[k] == 0. Input: nums = [-1,0,1,2,-1,-4]. Output: [[-1,-1,2],[-1,0,1]]","Brute Force: Iterate through all triplets using three nested loops, checking if their sum equals zero. Time Complexity: O(n³). Optimized: Sort the array, then for each element, use two pointers to find pairs that sum to the negative of the current element, ensuring unique triplets by skipping duplicates. Time Complexity: O(n²). Key Points: Sorting the array simplifies duplicate handling and allows the two-pointer technique to efficiently find pairs that sum to a target value."
"4Sum (18, Medium): Given an array nums of n integers, return all unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that a, b, c, and d are distinct and nums[a] + nums[b] + nums[c] + nums[d] == target. Input: nums = [1,0,-1,0,-2,2], target = 0. Output: [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]","Brute Force: Iterate through all possible quadruplets using four nested loops, checking if their sum equals the target. Time Complexity: O(n⁴). Optimized Solution: 1. Sort the array. 2. Use two nested loops to fix the first two numbers. 3. Apply the two-pointer technique on the remaining array to find pairs that sum to the required value. 4. Skip duplicate values to ensure unique quadruplets. Time Complexity: O(n³). Key Points: Sorting the array allows efficient duplicate handling and enables the two-pointer technique. Skipping duplicates at each step ensures unique quadruplets. The two-pointer approach reduces the time complexity compared to the brute force method."
"Remove Duplicates from Sorted Array (26, Easy): Given a sorted integer array nums, remove duplicates in-place so each unique element appears only once. Return the number of unique elements. Example: Input: [1,1,2]. Output: 2, nums = [1,2,_].","Brute Force: Use a temporary array to store unique elements, then copy back to nums. Time: O(n), Space: O(n). Optimized: Use two pointers; one iterates through nums, the other tracks position for unique elements. Time: O(n), Space: O(1). Key: Leverage sorted order; duplicates are adjacent."
"Rotate Image (48, Medium): Given an n x n 2D matrix representing an image, rotate the image by 90 degrees clockwise in-place.

Example:

Input:

[[1,2,3],

[4,5,6],

[7,8,9]]

Output:

[[7,4,1],

[8,5,2],

[9,6,3]]

Constraints:

n == matrix.length == matrix[i].length

1 <= n <= 20

-1000 <= matrix[i][j] <= 1000","Brute Force Solution:

1. Create an auxiliary matrix of the same size.

2. For each element at position (i, j) in the original matrix, place it at position (j, n-1-i) in the new matrix.

3. Copy the new matrix back to the original matrix.

Time Complexity: O(n²) due to iterating over all elements.

Optimized Solution:

1. Transpose the matrix by swapping matrix[i][j] with matrix[j][i] for all i < j.

2. Reverse each row of the transposed matrix.

Time Complexity: O(n²) as each element is processed once.

Key Points:

- Transposing converts rows to columns.

- Reversing rows aligns the columns to achieve a 90-degree rotation.

- This approach modifies the matrix in-place, using O(1) extra space.

([medium.com](https://medium.com/%40slicesharpy/leetcode-48-understanding-rotate-image-brute-force-to-optimal-in-place-4153e9317735?utm_source=openai))"
"Valid Number (65, Hard): Determine if a given string can be interpreted as a valid number. A valid number may include an optional sign, digits, a decimal point, and an optional exponent. Input: '0' → true, ' 0.1 ' → true, 'abc' → false, '1 a' → false, '2e10' → true.","Brute Force: Use a regular expression to match the string against the pattern of a valid number. Time Complexity: O(n). Optimized: Implement a finite state machine to validate the string by checking each character's validity in sequence. Time Complexity: O(n). Key Points: Handle optional signs, ensure proper placement of digits and decimal points, and correctly process the exponent part if present."
"Set Matrix Zeroes (73, Medium): Given an m x n integer matrix, if an element is 0, set its entire row and column to 0's. You must do it in place. Example: Input: [[1,1,1],[1,0,1],[1,1,1]] Output: [[1,0,1],[0,0,0],[1,0,1]]","Brute Force: Use two arrays to track rows and columns with zeros, then update the matrix accordingly. Time Complexity: O(m * n). Optimized: Use the first row and column as markers to track zeros, and two flags to handle the first row and column separately. Time Complexity: O(m * n). Key Points: Utilize the matrix itself for marking to achieve O(1) space complexity; handle the first row and column separately to avoid overwriting markers."
"Sort Colors (75, Medium): Given an array `nums` with `n` objects colored red, white, or blue (represented by integers 0, 1, and 2 respectively), sort them in-place so that objects of the same color are adjacent, in the order red, white, and blue. You must solve this problem without using the library's sort function. Example: Input: [2,0,2,1,1,0] Output: [0,0,1,1,2,2]","Brute Force: Count occurrences of 0s, 1s, and 2s; overwrite the array with the counted numbers. Time Complexity: O(n). Optimized: Use the Dutch National Flag algorithm with three pointers (`low`, `mid`, `high`) to partition the array in a single pass. Time Complexity: O(n). Key Points: Maintain three regions in the array for 0s, 1s, and 2s; adjust pointers accordingly to sort in-place without extra space."
"111. Minimum Depth of Binary Tree (Easy): Given a binary tree, find its minimum depth—the number of nodes along the shortest path from the root node down to the nearest leaf node. A leaf is a node with no children. Example 1: Input: root = [3,9,20,null,null,15,7]. Output: 2. Example 2: Input: root = [2,null,3,null,4,null,5,null,6]. Output: 5.","Brute Force: Traverse all paths from root to leaves, recording depths, and return the minimum depth found. Time Complexity: O(n), where n is the number of nodes. Optimized Solution: Use Breadth-First Search (BFS) to traverse the tree level by level, returning the depth upon encountering the first leaf node. Time Complexity: O(n). Key Points: BFS efficiently finds the minimum depth by stopping at the first leaf node encountered, reducing unnecessary traversal."
"Strobogrammatic Number II (247, Medium): Given an integer n, return all strobogrammatic numbers of length n. A strobogrammatic number looks the same when rotated 180 degrees. Example: Input: n = 2. Output: [\11\","\""69\"
"283. Move Zeroes (Easy): Given an integer array nums, move all 0's to the end while maintaining the relative order of non-zero elements. Do this in-place without making a copy of the array. Example: Input: [0,1,0,3,12] Output: [1,3,12,0,0]","Brute Force: Iterate through the array, remove each zero encountered, and append it to the end. Time Complexity: O(n²) due to repeated removals and insertions. Optimized: Use two pointers; one traverses the array, and the other tracks the position to place non-zero elements. Swap non-zero elements to the front and fill the rest with zeros. Time Complexity: O(n). Key Points: Maintain relative order of non-zero elements; perform in-place operations without extra space."
"328. Odd Even Linked List (Medium): Given the head of a singly linked list, group all nodes with odd indices together followed by nodes with even indices, preserving their relative order. The first node is considered odd, the second node even, and so on. You must solve the problem in O(1) extra space complexity and O(n) time complexity. Example: Input: 1->2->3->4->5->NULL. Output: 1->3->5->2->4->NULL.","Brute Force: Traverse the list to collect values of odd-indexed nodes, then even-indexed nodes, storing them in arrays. Reconstruct the list by reassigning node values from these arrays. Time Complexity: O(n) due to multiple traversals. Optimized: Use two pointers to separate odd and even nodes in a single pass. Initialize 'odd' at head and 'even' at head.next, with 'evenHead' pointing to the first even node. Iterate through the list, adjusting pointers to group odd and even nodes separately, then connect the end of the odd list to the start of the even list. Time Complexity: O(n) with O(1) extra space. Key Points: Maintain two separate chains for odd and even nodes; adjust pointers in a single traversal; connect the end of the odd list to the start of the even list to achieve the desired order."
